datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 13:37:26.042165,0x43590ff4,101,4.217,9.41,2.0595555,,5,,
2024-12-17 13:38:26.063489,0x43590ff4,101,4.233,6.6566668,2.066139,,5,,
2024-12-17 13:39:25.956336,0x43590ff4,101,4.248,9.816667,2.108611,,5,,
2024-12-17 13:40:26.079617,0x43590ff4,101,4.247,6.7100005,2.1394167,,5,,
2024-12-17 13:41:26.170499,0x43590ff4,100,4.195,5.9566665,2.1394167,,5,,
2024-12-17 13:41:53.167523,0x433b0b38,101,4.207,6.6566668,2.29775,6.5,5,-14,5
2024-12-17 13:42:26.127500,0x43590ff4,101,4.214,8.626667,2.1368055,,5,,
2024-12-17 13:43:26.266746,0x43590ff4,101,4.232,5.983333,2.1274166,,5,,
2024-12-17 13:44:26.159534,0x43590ff4,101,4.258,8.120001,2.1719167,,5,,
2024-12-17 13:45:26.210775,0x43590ff4,101,4.21,8.256666,2.2072778,,5,,
2024-12-17 13:45:39.799051,0x433aca0c,89,4.049,8.956667,1.4925834,6.0,3,-6,3
2024-12-17 13:46:26.240700,0x43590ff4,101,4.205,7.2016664,2.2479167,,5,,
2024-12-17 13:47:26.297562,0x43590ff4,101,4.223,5.23,2.2479167,,5,,
2024-12-17 13:47:53.547738,0x433b0b38,97,4.158,6.6833334,2.5841665,6.5,5,-14,5
2024-12-17 13:48:26.321836,0x43590ff4,101,4.221,9.24,2.266611,,5,,
2024-12-17 13:49:26.535767,0x43590ff4,101,4.213,7.3933334,2.3055832,,5,,
2024-12-17 13:50:26.524913,0x43590ff4,101,4.24,6.79,2.3242776,,5,,
2024-12-17 13:51:26.549809,0x43590ff4,101,4.221,6.6566668,2.33025,,5,,
2024-12-17 13:52:26.510786,0x43590ff4,101,4.215,6.6566668,2.3259444,,5,,
2024-12-17 13:53:26.579051,0x43590ff4,101,4.207,6.6833334,2.3259444,,5,,
2024-12-17 13:53:53.698090,0x433b0b38,101,4.201,11.391666,2.8258333,6.5,5,-14,5
2024-12-17 13:54:26.593127,0x43590ff4,101,4.251,14.456667,2.4005835,,5,,
2024-12-17 13:54:26.982350,0x336918e8,101,4.267,13.335,1.9158056,6.0,5,-18,5
2024-12-17 13:55:26.609646,0x43590ff4,101,4.23,5.9300003,2.4151943,,5,,
2024-12-17 13:56:26.650912,0x43590ff4,101,4.234,5.9300003,2.433889,,5,,
2024-12-17 13:57:26.731149,0x43590ff4,101,4.237,5.9566665,2.408611,,5,,
2024-12-17 13:58:26.777560,0x43590ff4,100,4.199,5.2033334,2.408611,,5,,
2024-12-17 13:59:26.783732,0x43590ff4,99,4.186,8.146667,2.3652499,,5,,
2024-12-17 13:59:53.848734,0x433b0b38,96,4.135,6.6566668,2.7749166,6.75,5,-14,5
2024-12-17 14:00:26.814900,0x43590ff4,100,4.191,7.173333,2.3778055,,5,,
2024-12-17 14:01:26.950310,0x43590ff4,101,4.207,6.6566668,2.37825,,5,,
2024-12-17 14:02:27.046415,0x43590ff4,101,4.216,6.6566668,2.372111,,5,,
2024-12-17 14:03:27.081793,0x43590ff4,101,4.204,12.718333,2.3705277,,5,,
2024-12-17 14:03:40.171239,0x433aca0c,88,4.04,12.635,1.6209722,6.0,3,-6,3
2024-12-17 14:04:27.055868,0x43590ff4,101,4.205,11.253333,2.3664167,,5,,
2024-12-17 14:05:27.030888,0x43590ff4,101,4.238,6.6566668,2.3845,,5,,
2024-12-17 14:05:54.194993,0x433b0b38,96,4.144,6.6833334,2.8126943,7.0,5,-14,5
2024-12-17 14:06:27.202487,0x43590ff4,101,4.21,8.626667,2.3431666,,5,,5
2024-12-17 14:07:27.235279,0x43590ff4,101,4.23,6.6833334,2.360278,,5,,
2024-12-17 14:08:27.426499,0x43590ff4,101,4.229,6.6566668,2.346139,,5,,
2024-12-17 14:09:27.405546,0x43590ff4,101,4.235,9.201667,2.3548334,,5,,
2024-12-17 14:10:27.423608,0x43590ff4,100,4.192,7.4100003,2.3431666,,5,,
2024-12-17 14:11:27.436868,0x43590ff4,100,4.198,5.9300003,2.3315,,5,,
2024-12-17 14:11:54.318801,0x433b0b38,96,4.147,6.6833334,2.7789166,7.0,5,-13,5
2024-12-17 14:12:27.478910,0x43590ff4,101,4.25,7.9000006,2.3355834,,5,,
2024-12-17 14:13:27.484074,0x43590ff4,100,4.191,5.9300003,2.293111,,5,,
2024-12-17 14:14:27.722251,0x43590ff4,101,4.22,9.955,2.319361,,5,,
2024-12-17 14:15:27.566205,0x43590ff4,101,4.245,6.6566668,2.3501666,,5,,
2024-12-17 14:16:27.670519,0x43590ff4,101,4.221,7.778333,2.3748333,,5,,
2024-12-17 14:17:27.769513,0x43590ff4,100,4.199,6.6566668,2.32025,,5,,
2024-12-17 14:17:54.853528,0x433b0b38,99,4.181,6.6566668,2.7693055,5.75,5,-13,5
2024-12-17 14:18:27.779718,0x43590ff4,101,4.223,9.3533325,2.355139,,5,,
2024-12-17 14:19:27.830642,0x43590ff4,101,4.226,9.955,2.333278,,5,,
2024-12-17 14:20:27.928721,0x43590ff4,100,4.2,6.6566668,2.3150277,,5,,
2024-12-17 14:21:27.831988,0x43590ff4,101,4.209,8.683333,2.313,,5,,
2024-12-17 14:21:40.430501,0x433aca0c,86,4.029,8.683333,1.6961945,6.0,3,-6,3
2024-12-17 14:22:27.888983,0x43590ff4,101,4.243,9.381667,2.2930832,,5,,
2024-12-17 14:23:27.892278,0x43590ff4,101,4.216,6.6566668,2.3051944,,5,,
2024-12-17 14:23:54.767187,0x433b0b38,100,4.2,9.228333,2.7931387,6.5,5,-13,5
2024-12-17 14:24:27.933263,0x43590ff4,100,4.199,11.171666,2.3355277,,5,,
2024-12-17 14:25:27.975282,0x43590ff4,101,4.233,6.6833334,2.354222,,5,,
2024-12-17 14:26:28.159491,0x43590ff4,101,4.214,6.6833334,2.33,,5,,
2024-12-17 14:27:28.232318,0x43590ff4,101,4.23,6.6566668,2.3254445,,5,,
2024-12-17 14:28:28.196568,0x43590ff4,101,4.219,6.6833334,2.2913888,,5,,
2024-12-17 14:29:28.236543,0x43590ff4,101,4.246,9.201667,2.2852502,,5,,
2024-12-17 14:29:54.989509,0x433b0b38,94,4.113,6.6833334,2.787,7.0,5,-14,5
2024-12-17 14:30:26.873448,0x336918e8,101,4.324,8.653333,1.8355556,6.0,5,-20,5
2024-12-17 14:30:28.179601,0x43590ff4,99,4.186,10.625,2.3014445,,5,,
2024-12-17 14:31:28.275771,0x43590ff4,100,4.199,6.6833334,2.3039446,,5,,
2024-12-17 14:32:28.403814,0x43590ff4,100,4.195,6.6566668,2.3039446,,5,,
2024-12-17 14:33:28.301707,0x43590ff4,101,4.247,6.6833334,2.2731388,,5,,
2024-12-17 14:34:28.342130,0x43590ff4,101,4.233,8.38,2.2281945,,5,,
2024-12-17 14:35:28.382974,0x43590ff4,101,4.21,6.6566668,2.221611,,5,,
2024-12-17 14:35:55.236959,0x433b0b38,95,4.13,6.6566668,2.7445278,7.25,5,-14,5
2024-12-17 14:36:28.565044,0x43590ff4,101,4.239,8.6,2.276639,,5,,5
